names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU04G00649,22.94095,4.1393533,1.8142207933876326e-116,5.590823744956221e-113,0.7234468937875758,0.1332304526748953,1,5371
HU02G00213,20.105907,3.4813364,6.551025523742429e-90,1.211284619339975e-86,0.6673346693386779,0.1539780521261978,1,13001
HU07G01485,17.160637,2.793448,5.233633396287068e-66,6.912134392667706e-63,0.641282565130261,0.19753086419752702,1,3825
HU04G00651,16.887508,4.0874076,5.56015744477499e-64,6.70482464047106e-61,0.5090180360721447,0.06138545953360807,1,5373
HU01G00588,14.999854,2.83636,7.358118743297214e-51,7.037152529149939e-48,0.5330661322645295,0.14248971193415427,1,7554
HU02G02218,14.970418,3.589513,1.1459899305857407e-50,1.0594676908265172e-47,0.4689378757515034,0.07184499314128955,1,15006
HU09G00063,14.641709,2.7160583,1.5219294919012783e-48,1.3190848268088112e-45,0.5310621242484974,0.15569272976680132,1,18378
HU10G01538,14.270002,3.2833536,3.3656948983778433e-46,2.745516117838514e-43,0.4629258517034072,0.08504801097393659,1,17804
HU02G02457,13.283175,2.7504127,2.898386578877638e-40,1.9606524820773486e-37,0.4649298597194393,0.11128257887517033,1,15245
HU03G01960,12.829259,2.8123453,1.124350442663988e-37,6.634863729209724e-35,0.4448897795591186,0.10922496570644612,1,11729
HU01G00005,12.261374,2.5962806,1.4600169767690604e-34,7.362467427398161e-32,0.44288577154308656,0.11779835390946368,1,6971
HU10G00748,12.178668,2.0895026,4.038223583980995e-34,2.000002341102016e-31,0.5210420841683371,0.19684499314128562,1,17014
HU01G00187,10.597992,2.2176352,3.044462465064271e-26,1.0554770808569694e-23,0.41282565130260557,0.13511659807955917,1,7153
HU07G00377,10.413822,2.1620886,2.1443445323654983e-25,6.758340409676942e-23,0.40881763527054144,0.133573388203016,1,2717
HU01G00685,9.870373,1.8411283,5.595608111550063e-23,1.5999401131323813e-20,0.44288577154308656,0.18689986282578525,1,7651
HU05G01608,9.566686,1.7616704,1.1038734108896894e-21,2.834808245465327e-19,0.4288577154308621,0.17352537722907785,1,1607
HU06G01194,9.477242,1.8252401,2.6109147938455694e-21,6.509125404166136e-19,0.41482965931863763,0.1663237311385431,1,21630
HU08G02228,9.162901,1.6537489,5.052045423556849e-20,1.0222193020527444e-17,0.4388777555110224,0.19204389574759578,1,25372
HU02G01415,8.972212,1.6960763,2.9061948921508975e-19,5.558849333365872e-17,0.42084168336673383,0.17695473251028487,1,14203
HU02G00780,8.949832,1.7704042,3.560252356108154e-19,6.717251639228548e-17,0.40080160320641317,0.16615226337448274,1,13568
HU01G00957,7.549918,1.3893259,4.355312118092314e-14,4.970970436020178e-12,0.40080160320641317,0.19958847736625124,1,7923
HU05G02196,30.16176,3.97604,7.520898579482399e-200,8.343684884077773e-197,0.7426966292134908,0.15530233412975702,10,2195
HU03G02824,29.378988,4.4584618,1.0190862090792643e-189,1.0094412860290498e-186,0.706741573033714,0.1053115236169826,10,12593
HU06G01978,28.169394,4.065069,1.3870271299240893e-174,1.0991199270984175e-171,0.6797752808988814,0.1137658518654665,10,22414
HU07G02147,27.986116,3.4920528,2.397695639101428e-172,1.7051304756532847e-169,0.750561797752817,0.19058996507995074,10,4487
HU06G00450,27.766104,3.9598212,1.113761965907458e-169,7.534192225473988e-167,0.6775280898876453,0.11927954420143427,10,20886
HU08G01120,27.62342,3.5588717,5.823277091255187e-168,3.8454426220467285e-165,0.7202247191011303,0.1648594008454345,10,24264
