names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU04G00649,22.94095,4.1393533,1.8142207933876326e-116,5.590823744956221e-113,0.7234468937875758,0.1332304526748953,1,5371
HU04G00651,16.887508,4.0874076,5.56015744477499e-64,6.70482464047106e-61,0.5090180360721447,0.06138545953360807,1,5373
HU02G02218,14.970418,3.589513,1.1459899305857407e-50,1.0594676908265172e-47,0.4689378757515034,0.07184499314128955,1,15006
HU03G01776,27.33123,4.6486983,1.805334550937601e-164,1.1126878615612082e-161,0.6269662921348342,0.06781841573240177,10,11545
HU03G02824,29.378988,4.4584618,1.0190862090792643e-189,1.0094412860290498e-186,0.706741573033714,0.1053115236169826,10,12593
HU10G01882,22.463188,4.237448,9.511082618838643e-112,2.776735541405155e-109,0.5280898876404481,0.06579672854254692,10,18148
HU05G01893,30.356495,7.314578,2.062524187803074e-202,1.9068036116239417e-198,0.8589743589743566,0.05782022855193562,11,1892
HU03G00177,17.104715,6.6584387,1.3686706756160554e-65,1.725458235827786e-62,0.48504273504273393,0.014668258570697562,11,9946
HU01G01937,17.135386,6.5413556,8.081523988225557e-66,1.0673384181592182e-62,0.48717948717948606,0.017226675763261083,11,8903
HU04G01506,25.181467,8.193893,6.3937016943984215e-140,1.9703257388237802e-136,0.668571428571425,0.011023079572855653,12,6228
HU03G00372,17.862059,7.92027,2.328889108654302e-71,2.3922866455010027e-68,0.4742857142857152,0.0056837754047537005,12,10141
HU03G02786,23.663698,7.8132167,8.531097113173835e-124,1.9717498202823026e-120,0.630476190476188,0.01481226317602478,12,12555
HU07G01763,11.931367,5.775322,8.122873551866738e-33,2.25287897961024e-28,0.7977528089887653,0.1046139057994239,13,4103
HU03G02180,9.583881,5.5151825,9.346493795360604e-22,1.2961250270716318e-17,0.6292134831460683,0.051746235181031774,13,11949
HU02G01307,6.343911,4.9738274,2.2400409998328358e-10,3.654561007668453e-07,0.41573033707865203,0.03091957705863489,13,14095
HU05G02180,16.65016,5.19311,3.0179156921823155e-62,1.3950315287112754e-58,0.6175438596491242,0.038868673503142805,2,2179
HU07G00868,12.562396,4.7401996,3.39880372080717e-36,3.142194039886228e-33,0.4701754385964922,0.033575917962289294,2,3208
HU06G00268,18.651974,4.1108603,1.2169896121105119e-77,3.375320689188505e-73,0.7719298245614054,0.14323519682434613,2,20704
HU02G03284,12.581341,3.5073063,2.6745286554667796e-36,1.236300870989519e-32,0.6325581395348823,0.16448659254414494,3,16072
HU01G00338,8.639258,2.6557508,5.657886088617967e-18,9.807591916738708e-15,0.4697674418604641,0.14780902550686603,3,7304
HU08G01604,8.145903,2.5497143,3.764615673397635e-16,5.096746817005697e-13,0.4604651162790688,0.15516677567037143,3,24748
HU10G00418,15.312998,3.250786,6.261078501996944e-53,8.682550612644262e-49,0.5166666666666655,0.12117586737309635,5,16684
HU04G01846,9.250535,1.9787319,2.2337216874256393e-20,1.6743857027229756e-17,0.40416666666666584,0.16492907195350823,5,6568
HU06G01765,8.944711,1.6993108,3.7292507809423454e-19,2.522701717303316e-16,0.4333333333333324,0.19586395487950256,5,22201
HU10G01517,12.568311,3.039086,3.153899434872205e-36,2.0342651354925723e-33,0.48118279569892436,0.09481456620238353,6,17783
HU04G00813,11.299647,3.001687,1.3174670890959332e-29,6.524991020727804e-27,0.4301075268817201,0.07971136096660524,6,5535
HU06G01801,10.4632225,2.9494514,1.2744614458260982e-25,5.049598314283833e-23,0.40591397849462335,0.08726296358449438,6,22237
HU01G02419,17.788332,3.4847198,8.703168046467854e-71,4.023039429479766e-67,0.6333333333333351,0.18058153375276617,7,9385
HU06G00713,15.8640375,3.3652835,1.1242740792856758e-56,2.227267256356301e-53,0.5488888888888901,0.12174800204047069,7,21149
HU03G01583,11.885609,2.7464368,1.40607741742164e-32,1.6955459640082255e-29,0.4511111111111117,0.13348070056113076,7,11352
HU05G01707,16.300703,2.9538555,9.756280917204451e-60,5.411809024773309e-56,0.5577981651376129,0.18631178707223864,8,1706
HU02G01227,12.826639,2.90737,1.1630005654545982e-37,1.6976747727833306e-34,0.43853211009174314,0.12893190459730366,8,14015
HU03G00687,12.041214,2.815796,2.157562426710596e-33,2.216296070548829e-30,0.41834862385321103,0.13014172139647398,8,10456
HU11G01180,14.062064,3.6951888,6.49635676410105e-45,2.252205685654283e-41,0.5970695970695955,0.12875536480686775,9,26668
HU02G00157,9.852716,3.5203004,6.67158811939349e-23,3.7762550304362946e-20,0.41391941391941295,0.07065037966325557,9,12945
HU04G00236,11.926272,2.7965775,8.635430843548817e-33,1.1975183722291321e-29,0.6007326007325992,0.1995708154506451,9,4958
