cluster,n_cells,ME,EX,EN,ENF,VB,best_panel
0,453,0.064340234,0.8960715,0.3546587,0.36200982,0.28474545,EX
1,499,0.08670371,1.4599084,0.3254335,0.2596819,0.18990964,EX
2,285,0.07310431,0.6719384,0.35192546,0.22013871,0.17356184,EX
3,215,0.16989283,0.77111346,0.2972493,0.3216675,0.24567442,EX
4,787,0.077640325,1.0090955,0.37108502,0.2820249,0.21714343,EX
5,480,0.08934879,0.8186352,0.6991164,0.5058241,0.23764995,EX
6,372,0.080793306,1.3682221,0.7135907,0.2872796,0.16812527,EX
7,450,0.036958512,1.4177389,0.5278626,0.23540616,0.16986884,EX
8,545,0.058201496,0.84231514,0.39432248,0.42327002,0.3138965,EX
9,273,0.06366519,0.667589,0.96373284,0.638582,0.21436632,EN
10,890,0.03237657,0.7028601,1.6225322,0.40692008,0.16531235,EN
11,468,0.0527183,0.8238995,1.0189512,2.0808585,2.7054858,VB
12,525,0.06327529,1.6497871,0.40001392,0.373181,0.22995299,EX
13,89,0.1196708,0.79155487,1.5874506,0.4610648,0.32691318,EN
