names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU02G01706,6.3779936,7.897037,1.794230148538816e-10,9.358393554218091e-07,1.0,EN-LIKE
HU03G02769,6.368497,10.258107,1.90889653596985e-10,9.358393554218091e-07,1.0,EN-LIKE
HU04G01751,6.3476043,5.6965933,2.1869398036281333e-10,9.358393554218091e-07,1.0,EN-LIKE
HU11G00828,6.341906,8.032661,2.269396591537214e-10,9.358393554218091e-07,1.0,EN-LIKE
HU08G01535,6.336208,8.258892,2.3548875515121494e-10,9.358393554218091e-07,1.0,EN-LIKE
HU07G01211,6.298221,7.453152,3.0108067456281557e-10,9.358393554218091e-07,1.0,EN-LIKE
HU03G00514,6.2754292,5.231435,3.486713904767578e-10,9.358393554218091e-07,1.0,EN-LIKE
HU09G00214,6.258335,7.4789042,3.891093040783774e-10,9.358393554218091e-07,1.0,EN-LIKE
HU06G02555,6.256436,5.282342,3.938755201295702e-10,9.358393554218091e-07,1.0,EN-LIKE
HU04G01769,6.2450395,3.9139426,4.236927847584267e-10,9.358393554218091e-07,1.0,EN-LIKE
HU07G00455,6.2450395,3.7376873,4.236927847584267e-10,9.358393554218091e-07,1.0,EN-LIKE
HU06G01801,6.2222476,6.3935704,4.900831924740328e-10,9.358393554218091e-07,1.0,EN-LIKE
HU06G00646,6.208952,4.316337,5.333908526033709e-10,9.358393554218091e-07,1.0,EN-LIKE
HU09G00897,6.2070527,4.6769505,5.398748760320514e-10,9.358393554218091e-07,1.0,EN-LIKE
HU03G01381,6.2070527,4.6176953,5.398748760320514e-10,9.358393554218091e-07,1.0,EN-LIKE
HU04G01770,6.1899586,4.7609367,6.018000172675461e-10,9.818190281714935e-07,1.0,EN-LIKE
HU06G00852,6.15767,5.1881776,7.38230675811384e-10,1.1374904329793742e-06,1.0,EN-LIKE
HU04G00601,6.094042,3.2347753,1.1009487428493593e-09,1.6070954412066831e-06,1.0,EN-LIKE
HU11G01393,6.066501,4.7337427,1.3072662529368322e-09,1.7949014525674354e-06,1.0,EN-LIKE
HU09G01358,6.058904,5.9671283,1.3705216862107942e-09,1.7949014525674354e-06,1.0,EN-LIKE
HU07G00702,6.047508,4.7623487,1.471034343268624e-09,1.7949014525674354e-06,1.0,EN-LIKE
HU10G00659,6.0456085,4.8819504,1.4884706475230219e-09,1.7949014525674354e-06,1.0,EN-LIKE
HU05G01921,6.0304136,4.9589477,1.6354034599932356e-09,1.889913123454683e-06,1.0,EN-LIKE
HU10G00524,6.015219,5.6049447,1.7964356452103932e-09,1.9929657047964104e-06,1.0,EN-LIKE
HU08G00810,5.980081,3.5639164,2.230263487087163e-09,2.304370772877771e-06,1.0,EN-LIKE
HU04G00141,5.9791317,5.0300546,2.2433030779772787e-09,2.304370772877771e-06,1.0,EN-LIKE
HU10G00259,5.9041076,8.8698635,3.545608516734086e-09,3.3736491671731623e-06,0.9285714285714286,EN-LIKE
HU08G02060,5.9012585,3.6737273,3.607391353120422e-09,3.3736491671731623e-06,1.0,EN-LIKE
HU06G02172,5.899359,4.4127455,3.6491608081916305e-09,3.3736491671731623e-06,1.0,EN-LIKE
HU06G01800,5.8879633,4.3519473,3.909843427692077e-09,3.4404924930084438e-06,1.0,EN-LIKE
HU05G00064,5.8841643,8.140671,4.000699490192912e-09,3.4404924930084438e-06,0.9285714285714286,EN-LIKE
HU08G02191,5.880366,3.9802928,4.093609239923514e-09,3.4404924930084438e-06,1.0,EN-LIKE
HU07G00159,5.865171,7.8721395,4.486700575538201e-09,3.659960013604471e-06,0.9285714285714286,EN-LIKE
HU11G01278,5.8594728,3.6595001,4.6433844717124115e-09,3.679550523512678e-06,1.0,EN-LIKE
HU08G01749,5.850926,8.057315,4.888439033242554e-09,3.766134905193951e-06,0.9285714285714286,EN-LIKE
