names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU07G02269,30.661707,3.8937578,1.8450378562700782e-206,2.558606247182531e-202,1.0,EX-LIKE
HU07G00451,27.65688,3.8712397,2.3067108079044047e-168,1.5994156064307169e-164,0.9937264742785445,EX-LIKE
HU04G00938,26.989809,4.6657925,1.9465942757384815e-160,1.0797758447521357e-156,0.972396486825596,EX-LIKE
HU03G02416,26.704967,2.2399418,4.121338079643649e-157,1.905088527315277e-153,0.998745294855709,EX-LIKE
HU07G01417,24.972034,3.5236492,1.2309469765427071e-137,4.877187770630283e-134,0.9347553324968633,EX-LIKE
HU11G01130,24.48231,3.20881,2.2798620660400297e-132,7.903996800202528e-129,0.9410288582183187,EX-LIKE
HU04G00167,22.280088,4.3733673,5.764512984250722e-110,1.5987876761819377e-106,0.8506900878293601,EX-LIKE
HU10G01879,22.098656,3.978086,3.256240398358475e-108,8.2101661316793e-105,0.8243412797992472,EX-LIKE
HU02G00903,21.63661,2.8108993,8.126123406775924e-104,1.8781502723910855e-100,0.9887076537013801,EX-LIKE
HU04G01632,19.913502,3.987667,3.108135346785644e-88,6.631087218699988e-85,0.7503136762860728,EX-LIKE
HU07G00257,19.878004,2.1077256,6.309472234893584e-88,1.2499515173912397e-84,0.9548306148055207,EX-LIKE
HU01G00071,19.51399,3.6473367,8.350176106680955e-85,1.447450839492477e-81,0.767879548306148,EX-LIKE
HU04G00165,19.082209,2.5638251,3.5493261577263257e-81,5.4689200546966465e-78,0.9021329987452948,EX-LIKE
HU08G00120,17.896011,3.3878179,1.2667441675156352e-71,1.5969613402748245e-68,0.7139272271016311,EX-LIKE
HU09G02081,17.518373,3.5816681,1.0374886828555452e-68,1.2510760269129804e-65,0.6762860727728983,EX-LIKE
HU10G00583,17.014736,3.7182386,6.3859909521974725e-65,7.379810794133204e-62,0.64366373902133,EX-LIKE
HU06G02591,16.971708,2.5335248,1.3300451090268215e-64,1.4755520439543558e-61,0.7967377666248432,EX-LIKE
HU05G00105,16.689735,3.6668694,1.556597795361499e-62,1.6604707636288912e-59,0.6624843161856964,EX-LIKE
HU05G00712,16.675392,2.6250088,1.9790680719550175e-62,2.032942702802682e-59,0.8381430363864492,EX-LIKE
HU07G00856,16.383665,7.781525,2.50198144295987e-60,2.392843286913517e-57,0.5307402760351317,EX-LIKE
HU02G03284,16.23687,3.0719955,2.7668442272366983e-59,2.5579474880803276e-56,0.7490589711417817,EX-LIKE
HU03G00852,16.211843,2.177246,4.159091000908708e-59,3.7210448035549365e-56,0.8996235884567126,EX-LIKE
HU06G02068,16.132385,3.5336967,1.5107161096695503e-58,1.3093659781776556e-55,0.6273525721455459,EX-LIKE
HU10G00469,15.8247385,2.5887444,2.1007080282746465e-56,1.7655496110362824e-53,0.7540777917189461,EX-LIKE
HU03G02410,15.79089,1.5667051,3.5947230185349475e-56,2.9323424387960816e-53,0.9523212045169385,EX-LIKE
