names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,cell_type
HU02G00903,12.503957,3.122331,7.102610895514315e-36,6.566363772902984e-32,0.9849624060150376,VAS
HU03G00731,10.609023,4.7355165,2.7056201622889216e-26,9.380046900135406e-23,0.6616541353383458,VAS
HU11G01278,10.078771,2.7040672,6.857895822108997e-24,1.4631056971245616e-20,0.8721804511278195,VAS
HU08G02202,9.946066,3.7203128,2.6235099263953895e-23,5.1973605577554376e-20,0.6842105263157895,VAS
HU07G02269,9.787612,1.8566648,1.272658315443881e-22,2.353145225255736e-19,1.0,VAS
HU05G00063,9.770635,4.292938,1.5050574631428984e-22,2.608923046266768e-19,0.6240601503759399,VAS
HU05G00062,9.5620985,3.3989289,1.1539226646864858e-21,1.882590888534099e-18,0.7593984962406015,VAS
HU02G00171,9.510319,3.7740483,1.9007938758594414e-21,2.9288065637200895e-18,0.6466165413533834,VAS
HU10G01980,9.44043,2.8104823,3.7125493848469736e-21,5.4193451151963585e-18,0.7669172932330827,VAS
HU09G01551,8.997043,3.3863754,2.318793851543249e-19,3.0624641653596193e-16,0.6466165413533834,VAS
HU06G00156,8.6300535,4.3879123,6.13234318165186e-18,7.086689089296431e-15,0.5413533834586466,VAS
HU05G00712,8.57233,2.646597,1.0141120040635205e-17,1.1250558573080697e-14,0.7293233082706767,VAS
HU05G01229,8.532151,3.324657,1.436505962071344e-17,1.5323651099249513e-14,0.631578947368421,VAS
HU02G00921,8.503008,2.3606975,1.8474093273053665e-17,1.8976999145486792e-14,0.8571428571428571,VAS
HU06G00603,8.361248,3.7673712,6.20580861206308e-17,6.14707506627034e-14,0.556390977443609,VAS
HU06G00852,8.200531,2.9944098,2.3932705517929125e-16,2.288874439792291e-13,0.631578947368421,VAS
HU05G01615,8.1201725,4.1071086,4.655207674426656e-16,4.1649091887168804e-13,0.518796992481203,VAS
HU01G00135,8.083955,3.8008568,6.269959251304048e-16,5.434291244841181e-13,0.5488721804511278,VAS
HU09G00512,8.07009,6.7726493,7.024631221852292e-16,5.903883240547676e-13,0.46616541353383456,VAS
HU03G00852,8.006991,1.8913256,1.175484446965136e-15,9.58884151075825e-13,0.9022556390977443,VAS
HU02G00887,7.8001533,2.1489034,6.1831991264430894e-15,4.76363966033053e-12,0.8120300751879699,VAS
HU05G01921,7.7775173,3.195788,7.396174872789563e-15,5.54413270531942e-12,0.556390977443609,VAS
HU05G00105,7.587656,3.4350166,3.257443897539133e-14,2.2586301624561962e-11,0.5112781954887218,VAS
HU04G01770,7.4490094,2.364692,9.404380197807173e-14,6.36171914112639e-11,0.6917293233082706,VAS
HU03G02824,7.3972287,3.7278526,1.3905573818955513e-13,9.182644996874551e-11,0.5263157894736842,VAS
