names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU09G01127,27.403128,4.148305,2.5169441402972883e-165,6.346131430104117e-162,0.6360887096774219,0.1515946974668598,0,19442
HU07G00868,22.376371,3.8453376,6.6868461991053e-111,6.623559976149481e-108,0.49697580645161926,0.07166294789342431,0,3208
HU01G00994,21.09856,3.16769,8.199629064695542e-99,5.4146836216507344e-96,0.5100806451612965,0.1134007087544315,0,7960
HU07G00868,11.572811,2.4290826,5.6597349482303545e-31,4.756749963308148e-28,0.5145631067961173,0.10599855456516385,1,3208
HU04G00061,12.590981,2.2904232,2.3671311694660606e-36,5.0501833065493225e-33,0.5954692556634302,0.14574801252710004,1,4783
HU05G01856,10.763965,2.1927607,5.093100343109747e-27,2.315690787149981e-24,0.4951456310679621,0.1119007468079968,1,1855
HU02G00398,19.327892,4.935137,3.129416480369136e-83,4.821909226835444e-80,0.4441656210790489,0.03916048118761207,11,13186
HU02G03064,12.465967,2.0482943,1.1447421565521828e-35,5.474038571030137e-33,0.41279799247177135,0.17980547734834604,11,15852
HU05G01989,6.006478,1.6020864,1.895967477231395e-09,1.0731562853267905e-06,0.4056224899598389,0.1846448218129667,12,1988
HU08G02292,6.1159177,1.508755,9.600279489220364e-10,5.916972258522818e-07,0.4176706827309232,0.1940923224109101,12,25436
HU03G02824,20.955107,6.9631267,1.68547638131077e-97,1.1686671858913553e-93,0.8872549019607823,0.03175924824550957,13,12593
HU06G00845,10.604901,6.299661,2.8276108999434743e-26,1.4416137556972843e-24,0.4411764705882348,0.006304270250981332,13,21281
HU03G01214,15.663645,6.094525,2.680824492680371e-55,7.435266730449009e-53,0.6617647058823517,0.021172832163673105,13,10983
HU03G01776,15.427146,5.051161,1.075212377297848e-53,3.774812061310862e-51,0.549520766773162,0.060858038081464796,14,11545
HU10G00887,19.416868,4.7633204,5.55769526756575e-84,7.707133912296803e-81,0.709265175718851,0.12569293805736467,14,17153
HU04G00030,16.143599,4.7511363,1.2597689258542413e-58,5.214879277398117e-56,0.5846645367412135,0.07387322246324388,14,4752
HU06G01801,6.460999,9.403388,1.0401396096770032e-10,2.4058554395210753e-07,0.9999999999999997,0.01802954519018262,15,22237
HU03G02769,6.461537,9.296391,1.0364476949182453e-10,2.4058554395210753e-07,0.9999999999999997,0.01965802023961849,15,12538
HU08G01945,4.5967693,8.534364,4.290922969388007e-06,0.0006194966703145576,0.7142857142857141,0.006513900197743394,15,25089
HU03G00625,13.86458,2.8835485,1.0383119718953113e-43,1.5156622389745505e-40,0.4596153846153832,0.10666172290198928,3,10394
HU05G01229,13.683296,2.3482296,1.2776705739228976e-42,1.687437779416741e-39,0.5173076923076907,0.15980719317760383,3,1228
HU08G01369,11.409875,2.347658,3.732673060747081e-30,2.525016764385861e-27,0.40576923076922955,0.10938079347423002,3,24513
HU11G00642,22.170328,4.80444,6.642443765842035e-109,1.8422817784562885e-105,0.8305647840531596,0.15150421179302181,4,26130
HU11G00278,21.841547,4.732015,9.35327246966312e-106,2.358300108600969e-102,0.8205980066445216,0.16317689530685983,4,25766
HU09G01096,11.50597,4.3680916,1.2309752931605741e-30,8.53527493895213e-28,0.4252491694352168,0.043200962695547365,4,19411
HU06G00012,16.153894,3.3320563,1.0661282703348226e-58,2.2745436598258697e-55,0.5137614678899078,0.11790230597570048,5,20448
HU02G03368,18.551142,3.026277,7.983852233553962e-77,2.460357129973546e-73,0.6275229357798127,0.177783287875031,5,16156
HU05G00832,12.635876,2.5750492,1.3389570263128386e-36,1.2805507974064337e-33,0.42201834862385323,0.09571038928837095,5,831
HU01G01890,17.503544,3.003859,1.346257126356589e-68,3.111536783291666e-65,0.4766118836915278,0.11189258312020621,7,8856
HU01G01891,18.828854,2.9566205,4.3813868416151585e-79,2.025296067536607e-75,0.5221238938053085,0.14028132992327472,7,8857
HU06G00546,15.672076,2.777863,2.34784357679934e-55,3.4272337685541944e-52,0.4412136536030324,0.11368286445012955,7,20982
HU03G02738,11.606266,6.5182767,3.8297789984898993e-31,3.934034093448791e-28,0.6015037593984969,0.022410945977825045,8,12507
HU03G02824,9.923495,6.1821694,3.29028689680999e-23,1.4039401089696164e-20,0.5263157894736843,0.04458598726114672,8,12593
HU03G01216,8.793914,5.9333,1.4443804586130507e-18,4.0877440836360166e-16,0.45864661654135336,0.016631280962491203,8,10985
