cluster,n_cells,ME,EX,EN,ENF,VB,best_panel
0,992,1.8025255,0.08182285,0.11090619,0.61466044,0.57242996,ME
1,309,1.8304738,0.093044594,0.07675247,0.446094,0.4105526,ME
2,461,1.510516,0.18444903,0.13631685,0.7641402,0.7078133,ME
3,520,1.1222054,0.17549059,0.18695436,0.55393404,0.5181239,ME
4,301,1.3719236,0.110015295,0.139037,0.6395358,0.5987005,ME
5,545,1.1886384,0.3028252,0.07649442,0.53854454,0.51022494,ME
6,837,1.3177384,0.12957872,0.10468446,0.60267013,0.58580947,ME
7,791,1.5611712,0.21837461,0.13447759,0.6996922,0.56436974,ME
8,133,0.4861565,0.33673298,1.1854038,2.660393,3.0759566,VB
9,1053,1.3818187,0.13014579,0.17798303,0.7743574,0.6971851,ME
10,1092,1.4605427,0.15120792,0.11349437,0.6831401,0.6684998,ME
11,797,0.6672659,0.5309875,0.13487312,0.73566806,0.67348933,ENF
12,249,1.4563748,0.1728215,0.12849782,0.6102241,0.5695491,ME
13,204,0.30408803,0.4337323,1.372462,0.8824334,0.43026528,EN
14,313,0.5205808,0.2496155,0.875202,0.8300105,0.575895,EN
15,14,0.20978186,0.66673875,1.2544466,1.3930223,0.4750855,ENF
