names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU07G01726,26.738722,3.4007652,1.6701582031088994e-157,5.1468708625805916e-154,0.6958637469586456,0.1583244315580601,0,4066
HU11G00278,20.849495,2.898808,1.5403831316649617e-96,2.848168410448514e-93,0.5620437956204402,0.1291011750343317,0,25766
HU07G01366,17.901833,3.0707753,1.1410501568167464e-71,1.582351304965623e-68,0.45255474452554695,0.07775064855791071,0,3706
HU11G00642,17.6019,2.4069104,2.3819542346617767e-69,3.1458809856354464e-66,0.520681265206813,0.1474896993743279,0,26130
HU07G01138,16.243626,2.4634366,2.4783051510958484e-59,2.749431734625734e-56,0.4610705596107051,0.11819014191972811,0,3478
HU0G00041,14.022949,1.9611486,1.128261258167222e-44,9.482523028869062e-42,0.4659367396593669,0.1739661223866876,0,27605
HU07G00666,11.997711,1.6714858,3.652567785857034e-33,1.5585225775499205e-30,0.4416058394160579,0.18838699832137343,0,3006
HU02G00171,19.068203,4.557771,4.639849451663133e-81,7.149234696770945e-78,0.7180327868852439,0.13741466637305125,1,12959
HU03G01776,15.9466,4.485276,3.0083705109074316e-57,2.528398670303564e-54,0.5934426229508192,0.08243411876972881,1,11545
HU09G01857,15.844472,3.8998663,1.5350510253246362e-56,1.182628894093855e-53,0.6196721311475402,0.1314688394626786,1,20172
HU01G00713,14.641769,4.5550523,1.5205902831229438e-48,9.37190477831441e-46,0.534426229508197,0.06202745357116592,1,7679
HU0G00041,14.599032,3.1934144,2.8486156589298023e-48,1.6809862829876183e-45,0.6065573770491797,0.1818982602950985,1,27605
HU02G00040,14.429069,4.191276,3.396364927416466e-47,1.8839636252379135e-44,0.5508196721311476,0.12376128606034367,1,12828
HU0G00116,14.2912445,3.492069,2.4813417707279216e-46,1.3234618079065175e-43,0.5737704918032784,0.13550612934009212,1,27526
HU03G00803,13.740266,4.215396,5.826119127066032e-43,2.7859898963651106e-40,0.5114754098360661,0.0718637598179552,1,10572
HU02G00264,13.610614,3.6501617,3.46321953146446e-42,1.628006672968929e-39,0.5377049180327871,0.1048227262717493,1,13052
HU03G02448,13.362476,3.7978797,1.0017518891416459e-40,4.3411857258349296e-38,0.5180327868852463,0.09968435733685935,1,12217
HU11G00285,13.092308,3.172571,3.643669698996768e-39,1.4035719319677133e-36,0.5442622950819673,0.1261836599867918,1,25773
HU07G01726,12.957306,2.9325278,2.1361856139192496e-38,7.899614400273384e-36,0.5737704918032784,0.18145782867210794,1,4066
HU04G01786,12.939969,5.122353,2.6773677308540726e-38,9.770630791478645e-36,0.46557377049180376,0.05028261029141858,1,6508
HU04G00030,12.748198,3.696877,3.1903462416895292e-37,1.1060531626657387e-34,0.5016393442622957,0.09227042501651814,1,4752
HU11G00642,12.452449,2.9699392,1.3561926363630775e-35,4.4778574725630895e-33,0.5409836065573772,0.16119797401454186,1,26130
HU09G00512,12.204117,3.6731842,2.9549767645595033e-34,9.208570850006497e-32,0.48196721311475466,0.11128239007561094,1,18827
HU08G01120,11.930687,3.0990644,8.189525579052584e-33,2.3660051243231604e-30,0.5147540983606562,0.1443881670704019,1,24264
HU02G01706,11.5404625,3.1352353,8.248019909136932e-31,2.1786555445705983e-28,0.48524590163934483,0.12324744916685468,1,14494
HU10G01002,11.369924,2.9919255,5.9039256464802056e-30,1.5022511725241146e-27,0.48196721311475466,0.13234970270865973,1,17268
HU08G00586,11.216707,3.1763408,3.376097289435828e-29,8.072073993319197e-27,0.46557377049180376,0.11876972766645058,1,23730
HU0G00040,10.662272,2.4745278,1.5281732889229137e-26,3.162976579722165e-24,0.508196721311476,0.18784408720547116,1,27604
HU07G01138,10.634993,2.8348238,2.0484484732930748e-26,4.208423585687661e-24,0.4622950819672136,0.13117521838068488,1,3478
HU01G01850,10.219988,2.3316233,1.6136151661159586e-24,3.0653162076867203e-22,0.5114754098360661,0.18432063422154663,1,8816
HU05G00974,10.041565,3.4352884,1.0007400293869198e-23,1.779200302246553e-21,0.40327868852459037,0.08375541363870051,1,973
HU11G00321,9.900522,3.0642586,4.1410565129130875e-23,7.046147385622361e-21,0.4098360655737707,0.09197680393452443,1,25809
HU05G00315,9.625328,2.5333722,6.250691648955124e-22,9.850166641123315e-20,0.4459016393442627,0.14857226748881228,1,314
HU03G00789,9.464278,2.1738968,2.955950208658302e-21,4.455612991148805e-19,0.48196721311475466,0.1963590985832888,1,10558
HU04G01219,9.45039,2.8279746,3.3757012201873043e-21,5.060814775237561e-19,0.40327868852459037,0.09498642002495997,1,5941
HU08G01761,9.319758,2.5687206,1.1660507940427564e-20,1.6756693664650698e-18,0.42295081967213144,0.13535931879909527,1,24905
HU06G01619,8.867193,2.3425043,7.50129022622088e-19,9.543499285515417e-17,0.41967213114754126,0.13983704029949937,1,22055
HU11G00278,8.823923,2.3658848,1.1051852455479225e-18,1.386982478971567e-16,0.42295081967213144,0.1486456727593107,1,25766
HU08G01810,8.795491,2.0174408,1.4242369282034883e-18,1.771354762498823e-16,0.48196721311475466,0.1892387873449413,1,24954
HU02G00260,7.9853883,1.9742401,1.4008085975469388e-15,1.335100565393964e-13,0.42295081967213144,0.1802833443441331,1,13048
HU07G00785,7.499315,1.9796225,6.415228150285727e-14,5.359227492414899e-12,0.40655737704918055,0.1913675401893957,1,3125
HU10G00886,7.476132,1.9660445,7.654219918622773e-14,6.33700864008963e-12,0.40327868852459037,0.16883212214637836,1,17152
