names,scores,logfoldchanges,pvals,pvals_adj,pct_in,pct_out,cluster,gene_idx
HU07G01726,26.738722,3.4007652,1.6701582031088994e-157,5.1468708625805916e-154,0.6958637469586456,0.1583244315580601,0,4066
HU07G01366,17.901833,3.0707753,1.1410501568167464e-71,1.582351304965623e-68,0.45255474452554695,0.07775064855791071,0,3706
HU11G00278,20.849495,2.898808,1.5403831316649617e-96,2.848168410448514e-93,0.5620437956204402,0.1291011750343317,0,25766
HU04G01786,12.939969,5.122353,2.6773677308540726e-38,9.770630791478645e-36,0.46557377049180376,0.05028261029141858,1,6508
HU02G00171,19.068203,4.557771,4.639849451663133e-81,7.149234696770945e-78,0.7180327868852439,0.13741466637305125,1,12959
HU01G00713,14.641769,4.5550523,1.5205902831229438e-48,9.37190477831441e-46,0.534426229508197,0.06202745357116592,1,7679
HU07G01726,24.470875,6.716765,3.0175599434845064e-132,7.608365912049344e-129,0.9497907949790756,0.17678427934837518,10,4066
HU11G00278,23.33576,6.3286843,1.9227701311009595e-120,3.3330018491303196e-117,0.9079497907949756,0.14150047483380374,10,25766
HU11G00642,23.231613,6.061263,2.18268931682692e-119,3.3631604556774793e-116,0.9121338912133856,0.156549053984946,10,26130
HU03G02824,30.64896,5.018926,2.7282895575361723e-206,1.2404772275125531e-203,0.572357723577235,0.04835407150732408,11,12593
HU05G02196,32.12572,4.8795686,1.9287164906756163e-226,1.091692895283433e-223,0.5991869918699192,0.05465427626397868,11,2195
HU08G01810,40.764404,4.7645555,0.0,0.0,0.7821138211382204,0.13884076232477152,11,24954
HU06G01661,16.556107,4.354425,1.446586208056211e-61,2.1116351831810006e-58,0.6413793103448286,0.09708168353131223,12,22097
HU08G01659,17.524818,3.8963926,9.263600809644637e-69,1.9763536035038002e-65,0.7103448275862081,0.16732658747617832,12,24803
HU03G00591,14.161137,3.478418,1.593943009689098e-45,1.0525716517554079e-42,0.593103448275863,0.13176418829741,12,10360
HU04G01506,22.58217,9.1294775,6.488254727724794e-113,1.1996782991563145e-109,0.570127504553734,0.003886688093280518,13,6228
HU03G02786,21.98285,8.923665,4.2024455775964483e-107,6.856166358508088e-104,0.5555555555555551,0.0047836161148067866,13,12555
HU03G02933,22.817942,8.458171,3.0428470381324076e-115,6.028097328757309e-112,0.5774134790528234,0.005007848120188354,13,12702
HU01G01880,38.073624,5.3018,0.0,0.0,0.8103813559322176,0.11290819470117358,14,8846
HU04G00649,25.942045,5.1870265,2.2357641818111892e-148,2.0669639860844442e-145,0.5370762711864413,0.034966112138015745,14,5371
HU07G01483,33.76239,5.1633077,7.03386909405243e-250,1.6257029943628678e-246,0.7319915254237391,0.09634935304990928,14,3823
HU10G01979,19.532276,6.543744,5.83786138366975e-85,8.521741340846343e-82,0.4973451327433657,0.0190077078500337,2,18245
HU05G01893,29.767685,6.274157,1.0239318900422579e-194,9.466250323440675e-191,0.7681415929203506,0.08486118386590001,2,1892
HU07G01763,20.341986,6.156136,5.4671291837977336e-92,8.919460465448832e-89,0.5256637168141616,0.035620743844945006,2,4103
HU03G00892,22.69117,3.1835446,5.4761615993576934e-114,6.328389248257734e-111,0.5283194057567376,0.1199128472492442,4,10661
HU02G03369,25.126894,3.020478,2.5284249214751664e-139,5.8438220997594785e-136,0.6285979572887735,0.19718309859154204,4,16157
HU07G01483,17.839748,2.87573,3.472604060919425e-71,1.9655647679510254e-68,0.4354688950789266,0.11462143023889462,4,3823
HU11G01114,17.713875,2.6071446,3.277156344201822e-70,1.2118924160858338e-67,0.4454072790294605,0.1401283857836209,5,26602
HU06G01840,20.769981,2.4832218,8.08895019006e-96,5.341596036221764e-93,0.5476603119584025,0.1941443557225654,5,22276
HU01G01733,17.2478,1.9225171,1.1624200831811308e-66,3.931673293540081e-64,0.49653379549393145,0.19954595271645983,5,8699
HU06G01840,20.054972,1.9832987,1.8264530416910955e-89,7.560697777806349e-87,0.47301587301587783,0.18424987539457818,6,22276
HU06G00087,18.252756,1.8986086,1.9673220860206674e-74,6.130750343346428e-72,0.4126984126984156,0.14778202359195763,6,20523
HU05G01219,19.796448,1.7891616,3.194379564519274e-87,1.2478326369287615e-84,0.48835978835979366,0.19870410367169886,6,1218
HU01G02184,12.830462,2.1645644,1.1070197350980947e-37,7.140277291382711e-35,0.40641025641025524,0.14831153027076363,8,9150
HU02G01021,12.566217,2.0568373,3.2385002405469475e-36,1.9526044385123826e-33,0.4089743589743578,0.14861575905080618,8,13809
HU04G01403,12.300021,2.0340426,9.055040726201464e-35,4.6507695285406964e-32,0.4038461538461527,0.1587313659872209,8,6125
